pktcount,bytecount,tx_bytes,rx_bytes,dur,dur_nsec,label
50,5000,3000,2000,5,0,0
100,10000,6000,4000,10,500000000,0
200,20000,12000,8000,15,0,0
75,7500,4500,3000,8,250000000,0
300,30000,18000,12000,20,0,0
500,50000,35000,15000,3,0,1
800,80000,60000,20000,2,500000000,1
1000,100000,80000,20000,1,0,1
300,40000,35000,5000,4,0,1
150,25000,22000,3000,6,0,1
60,6000,4000,2000,12,0,0
120,12000,8000,4000,9,0,0
250,25000,15000,10000,14,0,0
1000,100000,90000,10000,0,500000000,1
2000,200000,190000,10000,0,250000000,1
